Date,EURUSD=X,GLD,IEF,^GSPC
2015-01-05,-0.011897438565102713,0.014964618775983719,0.006082773458295482,-0.01844721353258727
2015-01-06,-0.0006210645277236351,0.01133448217141997,0.006694835145514942,-0.00893325469070017
2015-01-07,-0.00534627617400705,-0.005908836993974842,-0.00018495345195769188,0.011562735844876304
2015-01-08,-0.0033195730466938967,-0.004217399700950183,-0.0040870585064899725,0.01773016812715569
2015-01-09,-0.0033794393820058676,0.011320872784880804,0.0049210593213198026,-0.008439322147078786
2015-01-12,0.006307137852062381,0.011025431201653892,0.0035132501897696673,-0.008126616843470486
2015-01-13,-0.003306367396404937,-0.003379471739693634,0.0009220296812205795,-0.0025818854358163217
2015-01-14,-0.004509498516605509,-0.0016093040146014643,0.004600560207343615,-0.00583002896797565
2015-01-15,0.0006480468848150304,0.024864209830664365,0.008499338643669611,-0.009290903004567546
2015-01-16,-0.012683432307938381,0.01297967953352017,-0.007398435507705369,0.013334893186267299
2015-01-20,-0.003392299539115276,0.013618890362551296,0.0022890037947703805,0.001548752433400387
2015-01-21,-0.004409093556812298,0.00024156831944978564,-0.004767809369796398,0.004720465022189361
2015-01-22,0.005906263803163871,0.008017360134577187,-0.002484786295111505,0.015154313070630327
2015-01-23,-0.02339614797820338,-0.008017360134577146,0.0065205029330058,-0.005506656279301935
2015-01-26,-0.019695673188945495,-0.010031679362329541,-0.0022909495028409247,0.0025651679986232745
2015-01-27,0.01092915671812222,0.011399158685807192,0.0013754130533478015,-0.013478287815857576
2015-01-28,0.01058356411852316,-0.007909034514030033,0.0076672296733145875,-0.01358750281102202
2015-01-29,-0.007587187178921266,-0.02178803552843412,-0.0035525707283681823,0.00948951705826357
2015-01-30,0.004783451539234167,0.022031068542067805,0.008721495716124348,-0.013077099006318498
2015-02-02,-0.002343696043751205,-0.008378450604819716,-0.0012512987262709642,0.012879170000215516
2015-02-03,0.002887982175268975,-0.011254031870982083,-0.00847198508118986,0.014336238577453099
2015-02-04,0.010145404662095805,0.004368788786280421,0.0016448158881104333,-0.0041647065724529616
2015-02-05,-0.012173604340968083,0.0017257602352123193,-0.0036598548758651085,0.010238810710909235
2015-02-06,0.013446211575507286,-0.026204564931172653,-0.011247915305319336,-0.00342402761187852
2015-02-09,-0.013830915005197415,0.004457337052542182,-0.00046356675597687,-0.004256239310481708
2015-02-10,0.001109465116006892,-0.005891255467082124,-0.002507287282955966,0.010618979554062366
2015-02-11,-0.00044170100234545756,-0.01188773038576783,-0.00037228260404827124,-2.9034010158247172e-05
2015-02-12,-0.000882723133711319,0.0023036284035265445,0.0003722826040482878,0.009598295065916026
2015-02-13,0.008098083044709882,0.005439474740014081,-0.0033533715548644716,0.004066459227779422
2015-02-17,-0.006150598587159688,-0.016838734326833547,-0.007116454896951323,0.0015962996977983961
2015-02-18,0.006219065644784293,0.0028404943034609498,0.004780463520748949,-0.00031435862322874816
2015-02-19,-0.00041045440261669463,-0.003444070035884628,-0.0025276763997016576,-0.0010626217157189283
2015-02-20,-0.0029256250068887004,-0.005708895866845205,-0.0005626756804417861,0.006107842721055837
2015-02-23,0.0012966795108525343,0.0013003471683988895,0.004585855652377863,-0.000303385211985694
2015-02-24,-0.0042703336043747155,-0.0014738237281034486,0.006607849669315382,0.002754972468831103
2015-02-25,0.0005328450956548737,0.003810143280624359,0.0009279040494691518,-0.0007660169636026022
2015-02-26,0.0021680953305266886,0.003192846928133665,-0.005949069691926245,-0.00147711863025381
2015-02-27,-0.014026140340517966,0.000775127851616969,0.0035365100420423714,-0.0029606830486323707
2015-03-02,-0.0038807132980833957,-0.004140821554351363,-0.007471954918196132,0.0061062381811330165
2015-03-03,0.0015303346959355403,-0.0018169945131893267,-0.002158031850962547,-0.004548872603817568
2015-03-04,0.0002794546526248074,-0.0031225683060647487,0.0007511046269671807,-0.004398161230154572
2015-03-05,-0.008994636203198564,-0.0009560698660537595,0.0005631174753115799,0.001195365251036089
2015-03-06,-0.004522220970351142,-0.027684033513420175,-0.010279590656905133,-0.014275356362467066
2015-03-09,-0.017009420131539596,0.0009828943243309087,0.004633912504017103,0.003936662357975969
2015-03-10,-0.001159793377558223,-0.004924161015297649,0.004237107479881382,-0.017106820937141425
2015-03-11,-0.011578674390493175,-0.006031419233618076,0.0017838365077397253,-0.001919520676484767
2015-03-12,-0.015049712776884282,-0.0002709060307489861,0.0009372313544825981,0.012522702206037068
2015-03-13,0.007326527593731302,0.0014440077763354022,-0.0015000466157178564,-0.006093237090196838
2015-03-16,-0.013709205487791821,-0.0006315097549614711,0.0034658850382677893,0.013442909023855906
2015-03-17,0.008674338979073777,-0.005429372519536195,0.0020550722246671068,-0.0033256977077820026
2015-03-18,0.0023712366367233243,0.019409393965783985,0.011414331205839179,0.012085101501628708
2015-03-19,0.0234941858924157,-0.0007122036244302048,-0.004716874336424936,-0.004884489126950175
2015-03-20,-0.016827025546640437,0.011334565478751316,0.0040704008632284905,0.008972382193259682
2015-03-23,0.014670142016394027,0.006319701703631724,0.0012921721214018088,-0.0017472566067133015
2015-03-24,0.010874785980817097,0.002446901321801825,0.003037730722819013,-0.006158345701590925
2015-03-25,-0.0039325375004806,0.001395583828601838,-0.004329902844220903,-0.014665926527239062
2015-03-26,0.005345387331017505,0.006515812793653495,-0.0056479492114305035,-0.0023803307374738966
2015-03-27,-0.006783444864340464,-0.0036436736475295383,0.003892418163570267,0.0023657607295033602
2015-03-30,-0.00013053642274932147,-0.011450652385538355,-9.207636325647802e-05,0.012162382647149434
2015-03-31,-0.005037992599711713,-0.000791489742224147,0.0025859278983445155,-0.008834686217530795
2015-04-01,-0.008540873017487882,0.016924374949796855,0.004748007625045889,-0.0039732542018475255
2015-04-02,0.002957276753665615,-0.002772001936393702,-0.0028554080380656264,0.0035234523037141535
2015-04-06,0.02125811541736786,0.012156925637931892,0.0012909165516672603,0.006587072647165644
2015-04-07,-0.0060653229178221696,-0.004982843844589143,0.0008284237580645708,-0.002064032708587167
2015-04-08,-0.010172146205242448,-0.005527256360212914,-0.0009209585474040161,0.0026789415573472003
2015-04-09,-0.0035980022818393863,-0.006952344453191623,-0.004061161656898272,0.004447575873625805
2015-04-10,-0.010834236933770044,0.011273125412459931,-0.0002781596403827536,0.005189376899456221
2015-04-13,-0.00556437038889904,-0.007182773547924921,0.0020339661640125933,-0.004591806820961145
2015-04-14,-0.0034846413494175107,-0.006098084431298223,0.002949892642506034,0.00162843225851382
2015-04-15,0.006992003460704671,0.008613598755223903,0.0005524988119979795,0.005134989044995592
2015-04-16,0.002782790278670431,-0.0034713349747602833,0.0007363090867192207,-0.0007787467579851993
2015-04-17,0.007351252890400624,0.004942989742755055,0.002020639550051104,-0.01137570418905323
2015-04-20,0.0050679161456982395,-0.007641555546604684,-0.0018373579756203815,0.009192748586536723
2015-04-21,-0.005820546172887794,0.005736617532052148,-0.0021166269823856797,-0.001481702504767951
2015-04-22,-0.0005372106117897189,-0.013524881601083907,-0.005820683558243727,0.005074582853386292
2015-04-23,-0.0014813196868964213,0.007265135996097461,0.0030535117772603707,0.0023549408425523675
