Date,EURUSD=X,GLD,IEF,^GSPC
2015-01-02,1.2089413404464722,114.08000183105469,83.66021728515625,2058.199951171875
2015-01-05,1.194643259048462,115.80000305175781,84.170654296875,2020.5799560546875
2015-01-06,1.193901538848877,117.12000274658203,84.73605346679688,2002.6099853515625
2015-01-07,1.1875356435775757,116.43000030517578,84.72038269042969,2025.9000244140625
2015-01-08,1.1836000680923462,115.94000244140625,84.37483215332031,2062.139892578125
2015-01-09,1.1796069145202637,117.26000213623047,84.79106903076172,2044.81005859375
2015-01-12,1.187070369720459,118.55999755859375,85.08948516845703,2028.260009765625
2015-01-13,1.1831519603729248,118.16000366210938,85.16797637939453,2023.030029296875
2015-01-14,1.1778285503387451,117.97000122070312,85.56069946289062,2011.27001953125
2015-01-15,1.1785920858383179,120.94000244140625,86.29100799560547,1992.6700439453125
2015-01-16,1.1637378931045532,122.5199966430664,85.65494537353516,2019.4200439453125
2015-01-20,1.1597968339920044,124.19999694824219,85.85123443603516,2022.550048828125
2015-01-21,1.1546944379806519,124.2300033569336,85.44288635253906,2032.1199951171875
2015-01-22,1.1615345478057861,125.2300033569336,85.23084259033203,2063.14990234375
2015-01-23,1.1346745491027832,124.2300033569336,85.78840637207031,2051.820068359375
2015-01-26,1.1125450134277344,122.98999786376953,85.59209442138672,2057.090087890625
2015-01-27,1.1247708797454834,124.4000015258789,85.70989990234375,2029.550048828125
2015-01-28,1.1367381811141968,123.41999816894531,86.36958312988281,2002.1600341796875
2015-01-29,1.1281461715698242,120.76000213623047,86.06329345703125,2021.25
2015-01-30,1.13355553150177,123.44999694824219,86.81717681884766,1994.989990234375
2015-02-02,1.1309019327163696,122.41999816894531,86.70861053466797,2020.8499755859375
2015-02-03,1.1341726779937744,121.05000305175781,85.97711944580078,2050.030029296875
2015-02-04,1.145737886428833,121.58000183105469,86.11865234375,2041.510009765625
2015-02-05,1.131874680519104,121.79000091552734,85.80404663085938,2062.52001953125
2015-02-06,1.147196888923645,118.63999938964844,84.8443374633789,2055.469970703125
2015-02-09,1.1314393281936646,119.16999816894531,84.80501556396484,2046.739990234375
2015-02-10,1.1326953172683716,118.47000122070312,84.5926513671875,2068.590087890625
2015-02-11,1.1321951150894165,117.06999969482422,84.56116485595703,2068.530029296875
2015-02-12,1.131196141242981,117.33999633789062,84.5926513671875,2088.47998046875
2015-02-13,1.140393853187561,117.9800033569336,84.30945587158203,2096.989990234375
2015-02-17,1.1334012746810913,116.01000213623047,83.71160125732422,2100.340087890625
2015-02-18,1.1404719352722168,116.33999633789062,84.11273956298828,2099.679931640625
2015-02-19,1.1400039196014404,115.94000244140625,83.90039825439453,2097.449951171875
2015-02-20,1.1366735696792603,115.27999877929688,83.85320281982422,2110.300048828125
2015-02-23,1.1381484270095825,115.43000030517578,84.2386245727539,2109.659912109375
2015-02-24,1.1332985162734985,115.26000213623047,84.79710388183594,2115.47998046875
2015-02-25,1.1339025497436523,115.69999694824219,84.87582397460938,2113.860107421875
2015-02-26,1.1363636255264282,116.06999969482422,84.37239074707031,2110.739990234375
2015-02-27,1.1205360889434814,116.16000366210938,84.67130279541016,2104.5
